#,,Zip Code,P. Type,Stat,Address,Current Price,BldgDes,Sub,Approx Liv Area,Beds Total,Baths Total,Garage,Pv Pool,Spa,Year Built,Actual Close Date,DOM
1,2726966,89145,RES,A-ER,397 Breve CT,"$599,999 ",2STORY,SFR,"2,622",5,3,2,N,N,2019,,102
1,2715440,89147,RES,A-ER,8061 Petunia Flower WAY,"$599,999 ",2STORY,SFR,"2,448",5,3,3,Y,Y,1999,,113
1,2747476,89084,RES,A-ER,7061 Range Valley ST,"$599,900 ",2STORY,SFR,"3,068",5,3,2,N,N,2023,,8
1,2745214,89129,RES,A-ER,3929 Marble Mountain ST,"$599,900 ",2STORY,SFR,"2,092",5,3,2,Y,Y,1996,,17
1,2724427,89084,RES,A-ER,7543 Marie Brook LN,"$599,900 ",2STORY,SFR,"2,946",5,3,3,N,N,2023,,111
1,2710184,89131,RES,A-ER,7341 Royal Melbourne DR,"$599,900 ",1STORY,SFR,"2,559",5,2,3,N,Y,2004,,161
1,2701106,89117,RES,A-ER,3041 Parchment CT,"$599,900 ",2STORY,SFR,"3,260",5,3,3,N,N,2000,,158
1,2669103,89032,RES,A-ER,2409 West Gilmore AVE,"$599,900 ",2STORY,SFR,"2,977",5,3,2,N,N,2017,,300
1,2669098,89141,RES,A-ER,9758 Panther Hollow ST,"$599,900 ",2STORY,SFR,"2,890",5,3,2,N,N,2015,,300
1,2724216,89130,RES,A-ER,4701 Royal Sunset CT,"$599,888 ",2STORY,SFR,"3,089",5,3,3,Y,Y,1992,,57
1,2748859,89015,RES,A-ER,1153 Enchanted CT,"$599,000 ",2STORY,SFR,"3,171",5,4,2,N,N,2006,,6
1,2738809,89002,RES,A-ER,405 Scenic DR,"$599,000 ","1STORY,BASEMNT",SFR,"2,640",5,3,2,N,N,1970,,51
1,2735008,89011,RES,A-ER,80 Via Franello,"$599,000 ",2STORY,SFR,"2,715",5,3,2,Y,N,2025,,70
1,2731316,89129,RES,A-ER,8517 West Gilmore AVE,"$599,000 ",2STORY,SFR,"3,007",5,3,3,Y,Y,1998,,85
1,2731297,89113,RES,A-ER,5690 Spring Trellis ST,"$599,000 ",3STORY,SFR,"2,873",5,4,2,N,N,2024,,84
1,2741311,89141,RES,A-ER,11484 Roncat CT,"$598,000 ",2STORY,SFR,"2,300",5,4,3,Y,Y,2004,,41
1,2748781,89131,RES,A-ER,7821 Red Leaf DR,"$595,000 ",2STORY,SFR,"2,974",5,3,3,N,N,2003,,4
1,2744315,89141,RES,A-ER,10410 Kepler Cascades ST,"$595,000 ",2STORY,SFR,"1,996",5,4,2,N,N,2006,,21
1,2741977,89014,RES,A-ER,902 Squaw Peak DR,"$595,000 ",2STORY,SFR,"2,882",5,3,3,Y,Y,1993,,34
1,2733376,89141,RES,A-ER,5745 Becklow Gardens AVE,"$595,000 ",3STORY,SFR,"2,832",5,4,2,N,N,2022,,77
1,2709559,89074,RES,A-ER,1025 Tabor Hill AVE,"$595,000 ",2STORY,SFR,"2,747",5,3,3,N,N,2001,,137
1,2745471,89031,RES,A-ER,5929 Pink Chaff ST,"$590,000 ",2STORY,SFR,"3,934",5,3,3,N,N,2007,,16
1,2712831,89139,RES,A-ER,7688 Sandhaven ST,"$589,999 ",3STORY,SFR,"2,615",5,3,2,N,N,2021,,153
1,2670815,89121,RES,A-ER,2635 Regency Cove CT,"$589,990 ",2STORY,SFR,"2,674",5,3,3,Y,Y,2001,,295
1,2727738,89015,RES,A-ER,708 Finch Island AVE,"$589,950 ",2STORY,SFR,"3,222",5,3,3,N,N,2006,,99
1,2745983,89074,RES,A-ER,2534 Quail Canyon AVE,"$589,000 ",2STORY,SFR,"2,846",5,3,3,N,N,1993,,15
1,2745220,89141,RES,A-ER,4472 Mahogany Hills AVE,"$589,000 ",2STORY,SFR,"2,992",5,3,1,N,N,2023,,10
1,2731335,89148,RES,A-ER,9748 Gentle Spirit DR,"$589,000 ","2STORY,2LEVEL",SFR,"2,678",5,3,2,N,N,2003,,69
1,2710973,89031,RES,A-ER,6103 Harvest Dance ST,"$589,000 ",2STORY,SFR,"2,879",5,3,2,N,N,2002,,159
1,2748313,89074,RES,A-ER,167 Fulgora ST,"$588,000 ",2STORY,SFR,"2,927",5,4,2,N,N,2017,,7
1,2731640,89118,RES,A-ER,5565 Autumn Cliffs WAY,"$585,000 ",2STORY,SFR,"2,462",5,3,2,N,N,2019,,70
1,2694121,89139,RES,A-ER,6705 Philharmonic AVE,"$585,000 ","3STORY,TRILEVL",SFR,"2,960",5,4,2,N,N,2014,,206
1,2715043,89178,RES,A-ER,9161 Dutch Oven CT,"$584,900 ",2STORY,SFR,"2,552",5,3,3,N,N,2005,,143
1,2740047,89178,RES,A-ER,9123 Weeping Hollow AVE,"$580,000 ",2STORY,SFR,"3,231",5,3,3,N,N,2006,,41
1,2717794,89123,RES,A-ER,9269 Cazador ST,"$579,999 ",2STORY,SFR,"2,528",5,4,3,Y,Y,2005,,78
1,2736459,89129,RES,A-ER,3513 Natural View ST,"$579,000 ",1STORY,SFR,"2,490",5,3,2,N,N,2000,,64
1,2729154,89113,RES,A-ER,5670 Spring Trellis ST,"$579,000 ",3STORY,SFR,"2,934",5,4,2,N,N,2024,,93
1,2729150,89113,RES,A-ER,7474 Lodano AVE,"$579,000 ",3STORY,SFR,"2,934",5,4,2,N,N,2024,,93
1,2729146,89113,RES,A-ER,7482 Lodano AVE,"$579,000 ",3STORY,SFR,"2,934",5,4,2,N,N,2024,,93
1,2714612,89081,RES,A-ER,4017 Kristina Lynn AVE,"$579,000 ",2STORY,SFR,"3,001",5,4,3,N,Y,2006,,140
1,2748895,89084,RES,A-ER,7604 Marie Brook LN,"$575,000 ",2STORY,SFR,"2,659",5,3,3,N,N,2023,,3
1,2748869,89139,RES,A-ER,5161 Birchland Manor AVE,"$575,000 ",2STORY,SFR,"2,460",5,3,2,N,N,2023,,5
1,2748581,89044,RES,A-ER,2785 Donatello Manor PL,"$575,000 ",2STORY,SFR,"2,467",5,3,2,N,N,2020,,4
1,2747815,89130,RES,A-ER,4700 New Dawn Ct CT,"$575,000 ",2STORY,SFR,"3,089",5,3,3,N,N,1993,,7
1,2745740,89117,RES,A-ER,9405 Crosspointe AVE,"$575,000 ",2STORY,SFR,"2,196",5,3,2,Y,N,1989,,5
1,2734459,89113,RES,A-ER,7310 Saxby AVE,"$575,000 ",2STORY,SFR,"2,479",5,3,2,N,N,2023,,49
1,2720984,89129,RES,A-ER,7425 Enchanted Hills CT,"$575,000 ",2STORY,SFR,"2,896",5,3,3,N,N,1993,,122
1,2702150,89015,RES,A-ER,102 Tardando AVE,"$574,900 ",2STORY,SFR,"2,323",5,4,2,N,N,2025,,189
1,2697554,89015,RES,A-ER,58 Via Montoro,"$574,900 ",2STORY,SFR,"2,723",5,3,2,N,N,2025,,205
1,2735182,89081,RES,A-ER,3957 Carla Ann RD,"$570,000 ",2STORY,SFR,"2,931",5,3,2,Y,Y,2017,,63
1,2729938,89074,RES,A-ER,137 Wynntry DR,"$570,000 ",2STORY,SFR,"2,215",5,3,2,Y,Y,1989,,89
1,2743439,89086,RES,A-ER,1122 Brilliant Meadow AVE,"$569,999 ",2STORY,SFR,"3,063",5,3,2,N,N,2022,,27
1,2748137,89103,RES,A-ER,5944 Corazon DR,"$569,990 ",1STORY,SFR,"2,131",5,3,2,Y,N,1985,,8
1,2745477,89074,RES,A-ER,258 Finestra DR,"$569,900 ",2STORY,SFR,"2,860",5,3,2,N,N,1992,,16
1,2732262,89108,RES,A-ER,6631 Frosted Harvest AVE,"$569,900 ",2STORY,SFR,"2,466",5,3,2,N,N,2019,,80
1,2719029,89139,RES,A-ER,7766 Pacific Dunes ST,"$569,000 ",2STORY,SFR,"2,643",5,4,2,N,N,2021,,120
1,2748454,89084,RES,A-ER,7713 Miller Falls LN #Lot 103,"$567,890 ",2STORY,SFR,"2,660",5,3,3,N,N,2025,,7
1,2746934,89113,RES,A-ER,8121 Bearpoppy,"$567,000 ",2STORY,SFR,"2,393",5,3,2,N,N,2025,,12
1,2742131,89044,RES,A-ER,2832 Frabiele ST,"$565,000 ",2STORY,SFR,"2,467",5,3,2,N,N,2021,,35
1,2739783,89131,RES,A-ER,5842 Pueblo Canyon AVE,"$565,000 ",2STORY,SFR,"3,758",5,3,2,Y,N,2005,,46
1,2735674,89044,RES,A-ER,2993 Gallarate DR,"$565,000 ",2STORY,SFR,"2,467",5,3,2,N,N,2023,,66
1,2716443,89139,RES,A-ER,6682 Metronome CT,"$565,000 ",3STORY,SFR,"2,627",5,4,2,N,N,2014,,138
1,2710883,89074,RES,A-ER,212 Malcolm ST,"$564,900 ",2STORY,SFR,"2,391",5,3,3,Y,Y,2001,,129
1,2738450,89084,RES,A-ER,7708 Miller Falls LN #Lot 100,"$564,490 ",2STORY,SFR,"2,660",5,3,3,N,N,2025,,19
1,2693706,89015,RES,A-ER,1008 Beaver Crest TER,"$564,000 ",1STORY,SFR,"2,744",5,3,2,N,N,1996,,190
1,2743057,89148,RES,A-ER,5741 Mia Skye ST,"$560,000 ",2STORY,SFR,"2,462",5,3,2,N,N,2019,,30
1,2707703,89178,RES,A-ER,9825 Emerald Twilight ST,"$560,000 ",2STORY,SFR,"2,976",5,3,3,N,N,2009,,170
1,2706492,89141,RES,A-ER,4143 Juniper Pear AVE,"$560,000 ",2STORY,SFR,"2,475",5,3,2,N,N,2024,,174
